epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,4505.31,0.71981,1.8206,0.693,1.25942,0,0.97928,0.98667,0.98438,0.96266,0.97928,0.98667,0.98438,0.93179,0.28203,0.35062,0.22321,0.79732,0,0.000794232,0.000794232,0.000794232
74,4565.54,0.73155,1.83443,0.70782,1.26169,0,0.91372,0.97664,0.98653,0.96983,0.91372,0.97664,0.98653,0.93313,0.26012,0.34,0.3039,0.80682,0,0.000789832,0.000789832,0.000789832
75,4625.74,0.73367,1.85595,0.71832,1.26832,0,0.99098,0.98667,0.985,0.96262,0.99098,0.98667,0.985,0.93606,0.26403,0.38113,0.21351,0.79919,0,0.000785433,0.000785433,0.000785433
76,4686.1,0.72929,1.85185,0.7016,1.25889,0,0.98114,0.98667,0.98567,0.9599,0.98114,0.98667,0.98567,0.93159,0.246,0.38161,0.19531,0.78881,0,0.000781033,0.000781033,0.000781033
77,4746.34,0.73404,1.83954,0.7025,1.26406,0,0.98448,0.98667,0.98585,0.96888,0.98448,0.98667,0.98585,0.91766,0.28458,0.35399,0.20753,0.81165,0,0.000776633,0.000776633,0.000776633
78,4806.22,0.70261,1.78008,0.68137,1.24657,0,0.97697,0.98667,0.9872,0.96069,0.97697,0.98667,0.9872,0.91721,0.26099,0.39353,0.20521,0.80484,0,0.000772234,0.000772234,0.000772234
79,4866.09,0.70918,1.77928,0.66454,1.24524,0,0.98527,0.98667,0.98741,0.96568,0.98527,0.98667,0.98741,0.92833,0.25065,0.38274,0.19051,0.79763,0,0.000767834,0.000767834,0.000767834
80,4925.78,0.70125,1.77047,0.67785,1.24412,0,0.98564,0.98667,0.98552,0.95511,0.98564,0.98667,0.98552,0.92729,0.3121,0.37174,0.20854,0.81006,0,0.000763435,0.000763435,0.000763435
81,4986.46,0.71081,1.82018,0.70911,1.24118,0,0.98203,0.98667,0.98819,0.95469,0.98203,0.98667,0.98819,0.93653,0.30063,0.33672,0.22704,0.81373,0,0.000759035,0.000759035,0.000759035
82,5046.86,0.71278,1.83611,0.68606,1.2499,0,0.98161,0.98667,0.9846,0.95985,0.98161,0.98667,0.9846,0.9222,0.27527,0.37969,0.21793,0.81466,0,0.000754636,0.000754636,0.000754636
